code,ISO3V10,Country,EPI_regions,GEO_subregion,GDPCAP07,Population07,Landarea,PopulationDensity,Landlock,No_surface_water,Desert,High_Population_Density,EPI,ENVHEALTH,ECOSYSTEM,DALY,AIR_H,WATER_H,AIR_E,WATER_E,BIODIVERSITY,FORESTRY,FISHERIES,AGRICULTURE,CLIMATE,DALY_pt,ACSAT_pt,ACSAT_pt_imp,WATSUP_pt,WATSUP_pt_imp,INDOOR_pt,PM10_pt,SO2_pt,NOX_pt,NMVOC_pt,OZONE_pt,WQI_pt,WQI_pt_imp,WQI_pt_GEMS station data,WSI_pt,WATSTR_pt,PACOV_pt,MPAEEZ_pt,AZE_pt,FORGRO_pt,FORCOV_pt,MTI_pt,EEZTD_pt,AGWAT_pt,AGSUB_pt,AGPEST_pt,GHGCAP_pt,GHGCAP_pt_imp,GHGIND_pt,CO2KWH_pt,CO2KWH_pt_imp,DALY_raw,ACSAT_raw,ACSAT_raw_imp,WATSUP_raw,WATSUP_raw_imp,INDOOR_raw,PM10_raw,OZONE_raw,WQI_raw,WQI_raw_imp,WQI_raw_GEMS station data,SO2_raw,NOX_raw,NMVOC_raw,WSI_raw,WATSTR_raw,PACOV_raw,AZE_raw,MPAEEZ_raw,FORGRO_raw,FORCOV_raw,MTI_raw,EEZTD_raw,AGWAT_raw,AGSUB_raw,AGPEST_raw,GHGCAP_raw,GHGCAP_raw_imp,GHGIND_raw,CO2KWH_raw,CO2KWH_raw_imp,DALY_w,ACSAT_w,WATSUP_w,INDOOR_w,PM10_w,OZONE_w,SO2_w,NOX_w,NMVOC_w,WSI_w,WATSTR_w,PACOV_w,AZE_w,MPAEEZ_w,FORGRO_w,FORCOV_w,MTI_w,EEZTD_w,AGWAT_w,AGSUB_w,AGPEST_w,GHGCAP_w,GHGIND_w,CO2KWH_w,DALY_tr,PM10_tr,OZONE_tr,SO2_tr,NOX_tr,NMVOC_tr,WATSTR_tr,MPAEEZ_tr,AGWAT_tr,GHGCAP_tr,GHGIND_tr,CO2KWH_tr,DALY_t,ACSAT_t,WATSUP_t,INDOOR_t,PM10_t,OZONE_t,SO2_t,NOX_t,NMVOC_t,WSI_t,WATSTR_t,PACOV_t,AZE_t,MPAEEZ_t,FORGRO_t,FORCOV_t,MTI_t,EEZTD_t,AGWAT_t,AGSUB_t,AGPEST_t,GHGCAP_t,GHGIND_t,CO2KWH_t,DALY_ttr,PM10_ttr,OZONE_ttr,SO2_ttr,NOX_ttr,NMVOC_ttr,WATSTR_ttr,MPAEEZ_ttr,AGWAT_ttr,GHGCAP_ttr,GHGIND_ttr,CO2KWH_ttr
533,ABW,Aruba,Latin America and Caribbean,Caribbean,NA,104176.00,189.12,550.85,0,0,0,1,NA,NA,NA,NA,NA,100.00,33.13,NA,0.23,100.00,92.86,40.00,NA,NA,NA,0,100,0,NA,NA,17.63124831,17.0264304,28.83951605,100,48.0,1,NA,NA,NA,0.306,0.00683877,NA,NA,100,100,85.723729,NA,100,0,NA,0,NA,NA,0,NA,NA,0,100,0,NA,NA,0,48.0,1,NA,27.566208,26.27882,6.374132,NA,NA,0.0306,NA,0.000164,NA,0,0.025715,14.276271,NA,0,0,NA,0,NA,NA,0,NA,NA,100,NA,NA,0,3.316590675,3.268763292,1.852247925,NA,NA,0.0306,NA,0.000163987,NA,0,0.025715,14.276271,NA,0,0,NA,NA,NA,NA,NA,0,3.316590675,3.268763292,1.852247925,NA,0.000163987,NA,NA,NA,NA,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
4,AFG,Afghanistan,South Asia,South Asia,NA,NA,634924.74,NA,1,0,1,0,NA,11.55,NA,0.00,35.49,10.72,72.03,57.43,3.11,22.63,NA,39.59,NA,0,21.4365881,0,0,0,9.168421053,61.81837664,80.49462412,92.98854979,58.79642852,38.89568539,44.8,1,NA,100,40.174941,4.145,NA,0,41.6748,3.576982893,NA,NA,47.9572113,100,0,93.3,1,100,NA,0,255,30,0,22,0,86.29,41.268476,183308,44.8,1,NA,0.065268,0.019452,0.420557,0,11.28,0.4145,0,NA,0.854187,-3.1,NA,NA,35.14,0,0,3.2,1,0,NA,0,5.388904797,30,42,86.29,3.720098916,12.11892853,-2.729253409,-3.939805386,-0.866175256,0,2.507971923,0.4145,0,NA,0.854187,-3.1,NA,NA,3.587400285,0,0,1.423392631,0,NA,5.541263545,3.720098916,12.11892853,-2.729253409,-3.939805386,-0.866175256,2.507971923,NA,3.587400285,1.423392631,0,NA,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
24,AGO,Angola,Sub-Saharan Africa,Southern Africa,4875.36,17554585.00,1251895.62,14.02,0,0,0,0,36.3,18.29,54.40,0.00,43.47,29.70,40.13,64.76,58.43,94.79,86.74,54.55,53.85,0,43.88327722,0,15.51724138,0,49.74736842,37.18679961,56.46288968,40.77050547,30.60572882,0,51.8,1,NA,100,55.35010793,98.368,36.96774581,0,95.8012,93.77916019,98.96099932,74.513041,100,100,9.090909091,37.84810033,0,100,39.68987583,0,288,50,0,51,0,47.74,65.851318,1364330004,51.8,1,NA,0.658351,2.760811,5.430189,0,5.5,9.8368,0,1.426495,0.989503,-0.2,-0.000354,25.486959,0.141,0,2,16.169906,0,16.066767,153.403,0,5.388904797,50,51,47.74,4.187399443,19.83317972,-0.418017055,1.015524477,1.69197394,0,1.871802177,9.8368,0,0.886447829,0.989503,-0.2,-0.000354,25.486959,0.131905071,0,2,2.8431582,2.837133122,5.033068445,5.66296048,4.187399443,21.03392931,-0.418017055,1.015524477,1.69197394,1.871802177,0.886447829,0.131905071,2.8431582,2.837133122,5.033068445,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
660,AIA,Anguilla,Latin America and Caribbean,Caribbean,NA,NA,82.83,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,86.54,NA,0.26,100.00,NA,40.00,NA,NA,NA,0,NA,0,NA,NA,100,66.43236779,52.78801564,100,NA,0,NA,NA,NA,0,1.034440565,NA,NA,100,NA,95.290174,NA,100,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0.000109,0.241785,0.725463,NA,NA,0,NA,0.025115,NA,0,NA,4.709826,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,-9.124162676,-1.419706377,-0.320945207,NA,NA,0,NA,0.024804801,NA,0,NA,4.709826,NA,0,0,NA,NA,NA,NA,NA,0,-9.124162676,-1.419706377,-0.320945207,NA,0.024804801,NA,NA,NA,NA,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
8,ALB,Albania,Eastern Europe and Central Asia,Central Europe,6811.38,3132458.00,28346.12,110.51,0,0,0,0,71.4,69.93,72.92,65.50,52.97,95.73,49.16,91.24,77.02,100.00,62.54,54.55,68.97,65.50225385,96.63299663,0,94.82758621,0,47.36842105,58.56529515,56.6405296,51.14115223,41.62694524,32.2796871,82.47194106,0,82.47194106,100,100,96.279,19.24993836,NA,100,100,100,25.080982,100,100,9.090909091,70.5,1,66.91522534,68.0097645,0,29,97,0,97,0,50,43.895644,680844.96,82.47194106,0,82.47194106,0.647199,1.03188,1.997427,0,0,9.6279,NA,0.5866,1.03562,0.6,0.018862,74.919018,2.541,0,2,6.4,1,72.759474,42.5599,0,3.36729583,97,97,50,3.78181509,13.43109136,-0.435101458,0.031382381,0.691859852,0,0,9.6279,NA,0.461593362,1.03562,0.6,0.018862,74.919018,1.264409173,0,2,2.008083823,4.300809448,3.750912495,3.36729583,3.78181509,13.43109136,-0.435101458,0.031382381,0.691859852,0,0.461593362,1.264409173,2.008083823,4.300809448,3.750912495,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
20,AND,Andorra,Europe,Western Europe,NA,82180.00,463.79,177.19,1,0,0,1,NA,90.21,NA,84.77,91.28,100.00,52.41,NA,57.16,100.00,NA,40.00,NA,84.77138876,100,0,100,0,94.73684211,87.82647632,60.82994493,31.04706629,44.09814717,56.83973246,51.2,1,NA,NA,NA,57.161,NA,NA,NA,100,NA,NA,NA,100,0,NA,0,NA,NA,0,16,100,0,100,0,5,25.195957,5217.96,51.2,1,NA,0.432568,6.946574,1.596178,NA,NA,5.7161,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,2.772588722,100,100,5,3.226683545,8.560053427,-0.83801574,1.938248588,0.467612022,NA,NA,5.7161,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,2.772588722,3.226683545,8.560053427,-0.83801574,1.938248588,0.467612022,NA,NA,NA,NA,NA,NA,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
530,ANT,Netherlands Antilles,Latin America and Caribbean,Caribbean,NA,191328.78,818.07,233.88,0,0,1,0,NA,NA,NA,NA,79.04,NA,18.19,NA,52.05,100.00,68.27,40.00,NA,NA,NA,0,NA,0,NA,79.0406842,0,0,9.167421783,100,48.4,1,NA,NA,NA,99.352,9.503446892,0,NA,100,61.05508465,75.49073,NA,100,0,NA,0,NA,5.581143508,0,NA,NA,0,NA,0,NA,29.76592,0,48.4,1,NA,184.437521,182.061045,37.992207,NA,NA,9.9352,0,0.255938,NA,0,-0.013269,24.50927,NA,0,0,NA,0,NA,718.6028,0,NA,NA,NA,NA,3.393364115,0,5.012264458,4.884518537,3.63738106,NA,NA,9.9352,0,0.227882704,NA,0,-0.013269,24.50927,NA,0,0,NA,NA,6.577308771,NA,3.393364115,0,5.217310767,5.204342043,3.63738106,NA,0.227882704,NA,NA,NA,6.577308771,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
784,ARE,United Arab Emirates,Middle East and North Africa,Arabian Peninsula,51586.22,4364746.28,74776.60,58.37,0,1,1,0,40.7,81.29,0.06,89.10,48.63,98.32,34.00,5.27,1.17,100.00,50.00,39.09,20.58,89.09794613,96.63299663,0,100,0,94.73684211,2.523290384,25.78605371,24.45303696,18.86087979,83.32649253,NA,0,NA,1.42E-14,10.53143714,0,4.680721763,NA,100,100,100,0,0,100,18.18181818,0.9,1,78.16966727,2.367800081,0,14,97,0,100,0,5,127.106055,26.3,NA,0,NA,12.582508,12.987683,15.764391,12.793063,41.55,0,NA,0.11878,1.004418,0.1,0.011646,100,974.117647,0,4,43.2,1,57.491192,831.133,0,2.63905733,97,100,5,4.845021817,3.306886702,2.532307595,2.564001447,2.757753662,0.730609,3.750679855,0,NA,0.112238806,1.004418,0.1,0.011646,100,4.68352416,0,4,3.788650827,4.068876179,6.72278983,2.63905733,4.845021817,3.306886702,2.532307595,2.564001447,2.757753662,3.750679855,0.112238806,6.882558127,3.788650827,4.068876179,6.72278983,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
32,ARG,Argentina,Latin America and Caribbean,South America,12501.62,39503466.05,2736296.00,14.44,0,0,0,0,61.0,74.49,47.60,71.63,63.21,91.50,48.24,72.91,31.25,82.81,48.08,95.45,49.58,71.6338934,89.8989899,0,93.10344828,0,94.73684211,31.67384343,59.13609488,54.45090117,50.42005908,7.140452166,84.26534672,0,84.26534672,100,23.1028435,38.992,6.999705924,40,78.054,87.55832037,78.64178544,17.522137,100,100,90.90909091,39.68386243,0,97.59067148,21.35700597,0,24,91,0,96,0,5,73.111748,99632701.44,84.26534672,0,84.26534672,0.5091,0.753744,0.899365,0,24.12,3.8992,40,0.182754,0.945135,-0.4,-0.007277,82.477863,2.643,0,20,15.382,0,38.198761,351.8031,0,3.17805383,91,96,5,4.291989065,18.41700101,-0.675110818,-0.282702491,-0.10606632,0,3.223664342,3.8992,40,0.167845617,0.945135,-0.4,-0.007277,82.477863,1.292807518,0,20,2.796183171,3.668645139,5.863071644,3.17805383,4.291989065,18.41700101,-0.675110818,-0.282702491,-0.10606632,3.223664342,0.167845617,1.292807518,2.796183171,3.668645139,5.863071644,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
51,ARM,Armenia,Eastern Europe and Central Asia,Eastern Europe,5261.32,3072450.00,28272.73,108.67,1,0,0,0,60.4,71.63,49.26,62.31,68.66,93.23,61.96,50.52,55.34,63.02,NA,92.84,49.85,62.31269209,89.8989899,0,96.55172414,0,94.73684211,42.57670533,59.51868354,49.51067733,43.67750753,100,51.0,1,NA,100,0,73.785,NA,0,72.7036,53.3437014,NA,NA,64.20343525,100,100,39.4,1,82.28847121,38.28636334,0,32,91,0,98,0,5,59.450515,0,51.0,1,NA,0.490708,1.204554,1.658283,0,68.61,7.3785,0,NA,0.931759,-1.5,NA,NA,23.93,0,22,15.5,1,52.731275,163.467,0,3.465735903,91,98,5,4.085144286,0,-0.711906033,0.186109374,0.50578273,0,4.192176263,7.3785,0,NA,0.931759,-1.5,NA,NA,3.216071898,0,22,2.803347108,3.983995234,5.096611135,3.465735903,4.085144286,0,-0.711906033,0.186109374,0.50578273,4.242908235,NA,3.216071898,2.803347108,3.983995234,5.096611135,10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.302585093,2.995732274,0,-4.605170186,-4.605170186,-4.605170186,0,2.397895273,2.397895273,1.252762968,3.618993327,2.302585093
